Date,Strength,Number_of_AR_Detected,dB
2011-12-26,0.0,0.0,0.0
2012-01-02,0.31474719101123594,0.16666666666666666,0.4552988356708526
2012-01-09,0.3040598665730337,0.6666666666666666,0.5562556461254505
2012-01-16,0.1863881086142322,0.3333333333333333,0.2639073945338178
2012-01-23,0.8188553370786517,0.16666666666666666,0.6427298348026121
2012-01-30,0.0,0.0,0.0
2012-02-06,0.2668990770465489,0.16666666666666666,0.3692425380737373
2012-02-13,0.0,0.5,0.0
2012-02-20,0.3360202648475121,0.3333333333333333,0.39261473909388117
2012-02-27,0.0,0.16666666666666666,0.0
2012-03-05,0.0,0.16666666666666666,0.0
2012-03-12,0.0,0.5,0.0
2012-03-19,0.0,0.5,0.0
2012-03-26,0.2182089504596527,0.16666666666666666,0.23393538178248935
2012-04-02,0.0,0.0,0.0
2012-04-09,0.1645997191011236,0.5,0.3840175925825013
2012-04-16,0.0,0.16666666666666666,0.0
2012-04-23,0.0,0.6666666666666666,0.0
2012-04-30,0.26914062499999997,0.5,0.47670590068740104
2012-05-07,0.21579178370786514,0.5,0.26470409638399717
2012-05-14,0.0,0.5,0.0
2012-05-21,0.13430087390761547,0.5,0.17891906736978425
2012-05-28,0.8024388459737827,0.6666666666666666,0.8094704857639689
2012-06-04,0.0,0.3333333333333333,0.0
2012-06-11,0.0,0.16666666666666666,0.0
2012-06-18,0.08779260299625466,0.0,0.17362948518222834
2012-06-25,0.23374590355805244,0.3333333333333333,0.366395473448446
2012-07-02,0.4194371270361808,0.3333333333333333,0.3946973078167698
2012-07-09,0.0,0.0,0.0
2012-07-16,0.4284644194756555,0.16666666666666666,0.585531756823287
2012-07-23,0.8092494467143342,1.0,0.7060385199610177
2012-07-30,1.0,1.0,0.9999999999999999
2012-08-06,0.32910814606741573,0.3333333333333333,0.4716896658237241
2012-08-13,0.0,0.3333333333333333,0.0
2012-08-20,0.3575674767953102,0.16666666666666666,0.3771186005258229
2012-08-27,0.2163623595505618,0.8333333333333333,0.3616373647022664
2012-09-03,0.10746045239503252,0.3333333333333333,0.16135567867397907
2012-09-10,0.19625273096129836,0.3333333333333333,0.27101043844159206
2012-09-17,0.7487602283829995,0.5,0.6581602388384438
2012-09-24,0.7619241573033706,0.5,0.8885358700115483
2012-10-01,0.0,0.16666666666666666,0.0
2012-10-08,0.5636596862281279,0.6666666666666666,0.4939307862247757
2012-10-15,0.7470169124531835,0.6666666666666666,0.8062082297449898
2012-10-22,0.0,0.16666666666666666,0.0
2012-10-29,0.0,0.16666666666666666,0.0
2012-11-05,0.4670505617977528,0.8333333333333333,0.4116632888971563
2012-11-12,0.1527621722846442,0.6666666666666666,0.2670239556141107
2012-11-19,0.0,0.3333333333333333,0.0
2012-11-26,0.0,0.16666666666666666,0.0
2012-12-03,0.0,0.16666666666666666,0.0
2012-12-10,0.22005554136874358,0.3333333333333333,0.2382315606245379
2012-12-17,0.1792368913857678,0.16666666666666666,0.37041910155408797
2012-12-24,0.13534058988764044,0.5,0.19871174834935107
2012-12-31,0.11959269662921347,0.0,0.3740351079959229
