Week,New ARs
2018-12-31,1
2019-01-07,0
2019-01-14,0
2019-01-21,1
2019-01-28,0
2019-02-04,0
2019-02-11,0
2019-02-18,0
2019-02-25,0
2019-03-04,1
2019-03-11,0
2019-03-18,2
2019-03-25,0
2019-04-01,1
2019-04-08,1
2019-04-15,1
2019-04-22,0
2019-04-29,1
2019-05-06,1
2019-05-13,0
2019-05-20,0
2019-05-27,0
2019-06-03,0
2019-06-10,0
2019-06-17,0
2019-06-24,2
2019-07-01,0
2019-07-08,1
2019-07-15,0
2019-07-22,1
2019-07-29,0
2019-08-05,2
2019-08-12,0
2019-08-19,0
2019-08-26,0
2019-09-02,1
2019-09-09,0
2019-09-16,0
2019-09-23,0
2019-09-30,1
2019-10-07,0
2019-10-14,0
2019-10-21,0
2019-10-28,2
2019-11-04,0
2019-11-11,1
2019-11-18,0
2019-11-25,0
2019-12-02,0
2019-12-09,0
2019-12-16,0
2019-12-23,2
2019-12-30,0
