Week,New ARs
2010-12-27,6
2011-01-03,2
2011-01-10,4
2011-01-17,2
2011-01-24,2
2011-01-31,2
2011-02-07,7
2011-02-14,2
2011-02-21,3
2011-02-28,3
2011-03-07,4
2011-03-14,3
2011-03-21,6
2011-03-28,3
2011-04-04,5
2011-04-11,5
2011-04-18,4
2011-04-25,5
2011-05-02,4
2011-05-09,8
2011-05-16,4
2011-05-23,7
2011-05-30,6
2011-06-06,3
2011-06-13,2
2011-06-20,4
2011-06-27,3
2011-07-04,5
2011-07-11,7
2011-07-18,3
2011-07-25,6
2011-08-01,3
2011-08-08,2
2011-08-15,4
2011-08-22,6
2011-08-29,7
2011-09-05,4
2011-09-12,8
2011-09-19,5
2011-09-26,4
2011-10-03,5
2011-10-10,9
2011-10-17,8
2011-10-24,3
2011-10-31,9
2011-11-07,4
2011-11-14,10
2011-11-21,5
2011-11-28,5
2011-12-05,9
2011-12-12,5
2011-12-19,6
2011-12-26,4
