Week,New ARs
2018-01-01,1
2018-01-08,2
2018-01-15,1
2018-01-22,0
2018-01-29,2
2018-02-05,1
2018-02-12,0
2018-02-19,0
2018-02-26,1
2018-03-05,0
2018-03-12,2
2018-03-19,0
2018-03-26,1
2018-04-02,0
2018-04-09,1
2018-04-16,3
2018-04-23,0
2018-04-30,1
2018-05-07,1
2018-05-14,0
2018-05-21,3
2018-05-28,0
2018-06-04,0
2018-06-11,1
2018-06-18,2
2018-06-25,0
2018-07-02,0
2018-07-09,0
2018-07-16,1
2018-07-23,0
2018-07-30,1
2018-08-06,0
2018-08-13,1
2018-08-20,2
2018-08-27,0
2018-09-03,1
2018-09-10,1
2018-09-17,0
2018-09-24,1
2018-10-01,0
2018-10-08,2
2018-10-15,0
2018-10-22,0
2018-10-29,0
2018-11-05,0
2018-11-12,2
2018-11-19,1
2018-11-26,0
2018-12-03,1
2018-12-10,2
2018-12-17,0
2018-12-24,0
2018-12-31,0
