Week,New ARs
2020-12-28,2
2021-01-04,0
2021-01-11,1
2021-01-18,3
2021-01-25,1
2021-02-01,1
2021-02-08,0
2021-02-15,2
2021-02-22,2
2021-03-01,2
2021-03-08,2
2021-03-15,1
2021-03-22,2
2021-03-29,0
2021-04-05,1
2021-04-12,3
2021-04-19,4
2021-04-26,1
2021-05-03,1
2021-05-10,1
2021-05-17,1
2021-05-24,3
2021-05-31,2
2021-06-07,3
2021-06-14,2
2021-06-21,1
2021-06-28,3
2021-07-05,4
2021-07-12,3
2021-07-19,4
2021-07-26,0
2021-08-02,3
2021-08-09,5
2021-08-16,2
2021-08-23,3
2021-08-30,5
2021-09-06,3
2021-09-13,1
2021-09-20,5
2021-09-27,5
2021-10-04,1
2021-10-11,3
2021-10-18,2
2021-10-25,5
2021-11-01,2
2021-11-08,1
2021-11-15,2
2021-11-22,3
2021-11-29,4
2021-12-06,0
2021-12-13,7
2021-12-20,8
2021-12-27,2
