Week,New ARs
2013-12-30,18
2014-01-06,9
2014-01-13,8
2014-01-20,6
2014-01-27,3
2014-02-03,7
2014-02-10,4
2014-02-17,8
2014-02-24,7
2014-03-03,7
2014-03-10,6
2014-03-17,9
2014-03-24,7
2014-03-31,6
2014-04-07,5
2014-04-14,10
2014-04-21,2
2014-04-28,6
2014-05-05,6
2014-05-12,9
2014-05-19,7
2014-05-26,2
2014-06-02,8
2014-06-09,7
2014-06-16,3
2014-06-23,9
2014-06-30,8
2014-07-07,5
2014-07-14,2
2014-07-21,7
2014-07-28,8
2014-08-04,3
2014-08-11,9
2014-08-18,5
2014-08-25,2
2014-09-01,9
2014-09-08,4
2014-09-15,7
2014-09-22,5
2014-09-29,6
2014-10-06,3
2014-10-13,5
2014-10-20,5
2014-10-27,7
2014-11-03,3
2014-11-10,6
2014-11-17,3
2014-11-24,8
2014-12-01,6
2014-12-08,8
2014-12-15,6
2014-12-22,8
2014-12-29,1
