Prediction Date,Detection Date,Strength,Number of AR detected
2011-01-01,2011-01-01,0.0,1.0
2011-01-02,2011-01-02,0.0,0.0
2011-01-03,2011-01-03,0.0,0.0
2011-01-04,2011-01-04,0.0,0.0
2011-01-05,2011-01-05,0.0,0.0
2011-01-06,2011-01-06,0.0,0.0
2011-01-07,2011-01-07,0.0,0.0
2011-01-08,2011-01-08,0.0,0.0
2011-01-09,2011-01-09,0.0,0.0
2011-01-10,2011-01-10,0.0,0.0
2011-01-11,2011-01-11,0.0,0.0
2011-01-12,2011-01-12,0.0,0.0
2011-01-13,2011-01-13,0.0,0.0
2011-01-14,2011-01-14,0.0,0.0
2011-01-15,2011-01-15,0.0,0.0
2011-01-16,2011-01-16,0.0,1.0
2011-01-17,2011-01-17,0.0,0.0
2011-01-18,2011-01-18,0.0,0.0
2011-01-19,2011-01-19,0.0,0.0
2011-01-20,2011-01-20,0.0,0.0
2011-01-21,2011-01-21,0.0,0.0
2011-01-22,2011-01-22,0.0,0.0
2011-01-23,2011-01-23,0.0,0.0
2011-01-24,2011-01-24,0.0,0.0
2011-01-25,2011-01-25,0.0,0.0
2011-01-26,2011-01-26,0.0,0.0
2011-01-27,2011-01-27,0.0,0.0
2011-01-28,2011-01-28,0.0,0.0
2011-01-29,2011-01-29,0.0,1.0
2011-01-30,2011-01-30,0.0,0.0
2011-01-31,2011-01-31,0.0,0.0
2011-02-01,2011-02-01,0.0,0.0
2011-02-02,2011-02-02,0.0,0.0
2011-02-03,2011-02-03,0.0,0.0
2011-02-04,2011-02-04,0.0,0.0
2011-02-05,2011-02-05,0.0,0.0
2011-02-06,2011-02-06,0.0,0.0
2011-02-07,2011-02-07,0.0,0.0
2011-02-08,2011-02-08,0.0,0.0
2011-02-09,2011-02-09,0.0,0.0
2011-02-10,2011-02-10,0.0,0.0
2011-02-11,2011-02-11,0.0,0.0
2011-02-12,2011-02-12,0.0,0.0
2011-02-13,2011-02-13,0.0,0.0
2011-02-14,2011-02-14,0.0,1.0
2011-02-15,2011-02-15,0.0,0.0
