Semana,Filas_unicas,strength,date
2020-00,0.0,2020-46,1893.0
2020-01,0.0,2020-47,973.6
2020-02,0.0,2020-50,621.2142857142857
2020-03,0.0,2020-51,90.5
2020-04,0.0,,
2020-05,0.0,,
2020-06,0.0,,
2020-07,0.0,,
2020-08,0.0,,
2020-09,0.0,,
2020-10,0.0,,
2020-11,0.0,,
2020-12,0.0,,
2020-13,0.0,,
2020-14,0.0,,
2020-15,0.0,,
2020-16,0.0,,
2020-17,0.0,,
2020-18,0.0,,
2020-19,0.0,,
2020-20,0.0,,
2020-21,0.0,,
2020-22,1.0,,
2020-23,0.0,,
2020-24,0.0,,
2020-25,0.0,,
2020-26,0.0,,
2020-27,0.0,,
2020-28,0.0,,
2020-29,1.0,,
2020-30,1.0,,
2020-31,1.0,,
2020-32,0.0,,
2020-33,0.0,,
2020-34,0.0,,
2020-35,0.0,,
2020-36,0.0,,
2020-37,0.0,,
2020-38,1.0,,
2020-39,0.0,,
2020-40,0.0,,
2020-41,1.0,,
2020-42,0.0,,
2020-43,0.0,,
2020-44,1.0,,
2020-45,1.0,,
2020-46,1.0,,
2020-47,3.0,,
2020-48,1.0,,
2020-49,0.0,,
2020-50,1.0,,
2020-51,3.0,,
2020-52,0.0,,
