Week,New ARs
2014-12-29,14
2015-01-05,9
2015-01-12,2
2015-01-19,6
2015-01-26,8
2015-02-02,4
2015-02-09,2
2015-02-16,6
2015-02-23,4
2015-03-02,3
2015-03-09,4
2015-03-16,5
2015-03-23,9
2015-03-30,5
2015-04-06,3
2015-04-13,5
2015-04-20,5
2015-04-27,2
2015-05-04,7
2015-05-11,6
2015-05-18,6
2015-05-25,3
2015-06-01,8
2015-06-08,4
2015-06-15,2
2015-06-22,1
2015-06-29,9
2015-07-06,4
2015-07-13,3
2015-07-20,2
2015-07-27,4
2015-08-03,4
2015-08-10,3
2015-08-17,3
2015-08-24,2
2015-08-31,5
2015-09-07,6
2015-09-14,2
2015-09-21,7
2015-09-28,2
2015-10-05,3
2015-10-12,5
2015-10-19,3
2015-10-26,5
2015-11-02,7
2015-11-09,4
2015-11-16,2
2015-11-23,3
2015-11-30,4
2015-12-07,6
2015-12-14,1
2015-12-21,4
2015-12-28,0
