Week,New ARs
2016-12-26,1
2017-01-02,3
2017-01-09,3
2017-01-16,2
2017-01-23,1
2017-01-30,4
2017-02-06,2
2017-02-13,1
2017-02-20,3
2017-02-27,3
2017-03-06,0
2017-03-13,0
2017-03-20,1
2017-03-27,5
2017-04-03,1
2017-04-10,1
2017-04-17,3
2017-04-24,1
2017-05-01,1
2017-05-08,0
2017-05-15,3
2017-05-22,2
2017-05-29,1
2017-06-05,0
2017-06-12,2
2017-06-19,1
2017-06-26,0
2017-07-03,1
2017-07-10,2
2017-07-17,0
2017-07-24,2
2017-07-31,1
2017-08-07,0
2017-08-14,1
2017-08-21,1
2017-08-28,4
2017-09-04,3
2017-09-11,1
2017-09-18,1
2017-09-25,2
2017-10-02,0
2017-10-09,0
2017-10-16,2
2017-10-23,1
2017-10-30,0
2017-11-06,0
2017-11-13,2
2017-11-20,1
2017-11-27,0
2017-12-04,1
2017-12-11,1
2017-12-18,1
2017-12-25,0
