Week,New ARs
2015-12-28,7
2016-01-04,7
2016-01-11,2
2016-01-18,3
2016-01-25,2
2016-02-01,7
2016-02-08,3
2016-02-15,5
2016-02-22,2
2016-02-29,9
2016-03-07,5
2016-03-14,4
2016-03-21,1
2016-03-28,0
2016-04-04,3
2016-04-11,3
2016-04-18,1
2016-04-25,7
2016-05-02,2
2016-05-09,4
2016-05-16,1
2016-05-23,2
2016-05-30,2
2016-06-06,3
2016-06-13,3
2016-06-20,1
2016-06-27,0
2016-07-04,6
2016-07-11,4
2016-07-18,1
2016-07-25,1
2016-08-01,2
2016-08-08,5
2016-08-15,1
2016-08-22,4
2016-08-29,4
2016-09-05,5
2016-09-12,1
2016-09-19,5
2016-09-26,0
2016-10-03,3
2016-10-10,2
2016-10-17,1
2016-10-24,1
2016-10-31,2
2016-11-07,4
2016-11-14,1
2016-11-21,1
2016-11-28,4
2016-12-05,0
2016-12-12,2
2016-12-19,2
2016-12-26,2
