Week,New ARs
2012-12-31,19
2013-01-07,5
2013-01-14,3
2013-01-21,3
2013-01-28,4
2013-02-04,3
2013-02-11,6
2013-02-18,3
2013-02-25,6
2013-03-04,7
2013-03-11,6
2013-03-18,6
2013-03-25,7
2013-04-01,8
2013-04-08,5
2013-04-15,3
2013-04-22,6
2013-04-29,7
2013-05-06,6
2013-05-13,6
2013-05-20,5
2013-05-27,6
2013-06-03,3
2013-06-10,9
2013-06-17,3
2013-06-24,4
2013-07-01,6
2013-07-08,4
2013-07-15,8
2013-07-22,6
2013-07-29,6
2013-08-05,7
2013-08-12,5
2013-08-19,11
2013-08-26,1
2013-09-02,2
2013-09-09,4
2013-09-16,8
2013-09-23,4
2013-09-30,5
2013-10-07,8
2013-10-14,10
2013-10-21,8
2013-10-28,5
2013-11-04,4
2013-11-11,8
2013-11-18,3
2013-11-25,6
2013-12-02,6
2013-12-09,9
2013-12-16,8
2013-12-23,4
2013-12-30,1
